,zone1_temperature,zone2_temperature,zone3_temperature,zone4_temperature,surface_adiabatic_1_temperature,surface_adiabatic_2_temperature,surface_adiabatic_3_temperature,surface_adiabatic_4_temperature,surface_adiabatic_5_temperature,surface_adiabatic_6_temperature,surface_adiabatic_7_temperature,surface_adiabatic_8_temperature,surface_adiabatic_9_temperature,surface_adiabatic_10_temperature,surface_adiabatic_11_temperature,surface_adiabatic_12_temperature,surface_adiabatic_13_temperature,surface_adiabatic_14_temperature,surface_adiabatic_15_temperature,surface_adiabatic_16_temperature,surface_adiabatic_17_temperature,surface_adiabatic_18_temperature,surface_adiabatic_19_temperature,surface_exterior_1_temperature,surface_exterior_2_temperature,surface_exterior_3_temperature,surface_exterior_4_temperature,surface_exterior_5_temperature,surface_exterior_6_temperature,surface_exterior_7_temperature,surface_exterior_8_temperature,surface_exterior_9_temperature,surface_interior_1_temperature,surface_interior_2_temperature,surface_interior_3_temperature
2017-01-02 05:00:00,26.6781223361,26.725394216,26.6094327436,26.6325654985,26.1070895943,26.0559102611,26.0513561846,26.0513561846,26.1049939958,26.1049939958,26.1142967416,26.0548035046,26.0548035046,26.112059398,26.112059398,26.0973058337,26.0466748616,26.0954025352,26.0954025352,26.1007760955,26.0483370361,26.0988047259,26.0988047259,25.9436360429,25.9468799949,25.9468799949,25.9468799949,25.9468799949,25.9392313703,25.9392313703,25.9407936827,25.9407936827,26.110693168,26.102197714,26.1075364185
2017-01-02 05:30:00,26.6986231817,26.7475586608,26.6287264446,26.6526436834,26.1179134486,26.0618235883,26.0568087259,26.0568087259,26.1156267008,26.1156267008,26.1258792736,26.0606369783,26.0606369783,26.123437289,26.123437289,26.1070411144,26.0515833227,26.1049662262,26.1049662262,26.1108835764,26.053432069,26.1087339716,26.1087339716,25.9384935535,25.9420807914,25.9420807914,25.9420807914,25.9420807914,25.9335965157,25.9335965157,25.9353272161,25.9353272161,26.1218963611,26.1124772815,26.118381425
2017-01-02 06:00:00,26.7082923701,26.7558014304,26.6312621646,26.6558115169,26.1287622367,26.0677951978,26.0623185562,26.0623185562,26.126287283,26.126287283,26.1374629829,26.0665200534,26.0665200534,26.1348200498,26.1348200498,26.1166894206,26.0564929792,26.1144479014,26.1144479014,26.1209121983,26.0585336141,26.1185892659,26.1185892659,25.9312550716,25.9351752516,25.9351752516,25.9351752516,25.9351752516,25.9258150441,25.9258150441,25.9277179231,25.9277179231,26.1331126098,26.1227258287,26.1291875906
2017-01-02 06:30:00,23.0,23.0,23.0,23.0,26.0866821397,26.0472457437,26.0435535069,26.0435535069,26.0851446737,26.0851446737,26.096397287,26.0482607669,26.0482607669,26.0946734895,26.0946734895,26.0698431991,26.0354781516,26.0686354436,26.0686354436,26.0743692045,26.0376771794,26.0730751221,26.0730751221,25.9005101956,25.9048889799,25.9048889799,25.9048889799,25.9048889799,25.8929279197,25.8929279197,25.8949686131,25.8949686131,26.0915397133,26.0782626694,26.0853832457
2017-01-02 07:00:00,23.0,23.0,23.0,23.0,26.0297512264,26.0190142644,26.017738551,26.017738551,26.0294468394,26.0294468394,26.0392829283,26.0224041015,26.0224041015,26.0387994713,26.0387994713,26.0132855468,26.0097602563,26.013296995,26.013296995,26.0177275755,26.0119404853,26.0176560397,26.0176560397,25.8643913871,25.8686921656,25.8686921656,25.8686921656,25.8686921656,25.8569688464,25.8569688464,25.8589738686,25.8589738686,26.0345170773,26.0215183866,26.0285052519
2017-01-02 07:30:00,23.0,23.0,23.0,23.0,25.9738706267,25.9910433406,25.9921415516,25.9921415516,25.9747547262,25.9747547262,25.9832222304,25.9967657246,25.9967657246,25.9839343188,25.9839343188,25.9577701656,25.9842589708,25.9589566468,25.9589566468,25.9621297473,25.9864205493,25.9632364944,25.9632364944,25.8289009826,25.8331250938,25.8331250938,25.8331250938,25.8331250938,25.8216348837,25.8216348837,25.8236048458,25.8236048458,25.9785464285,25.9658203961,25.9726759889
2017-01-02 08:00:00,23.0,23.0,23.0,23.0,25.9190357943,25.9633380374,25.9667675087,25.9667675087,25.9210646925,25.9210646925,25.928230464,25.9713597757,25.9713597757,25.9300937917,25.9300937917,25.9033516499,25.9590064365,25.9056686385,25.9056686385,25.9076279862,25.9611484539,25.9098684484,25.9098684484,25.7950920467,25.7992407557,25.7992407557,25.7992407557,25.7992407557,25.7879789635,25.7879789635,25.789914469,25.789914469,25.9236331291,25.9111937221,25.9179292251
2017-01-02 08:30:00,23.0,23.0,23.0,23.0,25.8652125995,25.9358884697,25.9416077359,25.9416077359,25.8683441233,25.8683441233,25.8742531972,25.946168348,25.946168348,25.8772254137,25.8772254137,25.8499359804,25.9339666396,25.8533417484,25.8533417484,25.8541305886,25.9360892511,25.8574629479,25.8574629479,25.7618712727,25.7659458751,25.7659458751,25.7659458751,25.7659458751,25.7549080508,25.7549080508,25.75680969,25.75680969,25.8697328983,25.8575742899,25.8641918929
2017-01-02 09:00:00,23.0,23.0,23.0,23.0,25.8124419058,25.9087221985,25.9166878189,25.9166878189,25.8166337818,25.8166337818,25.8214109896,25.9212537015,25.9212537015,25.8254479602,25.8254479602,25.7978009052,25.9092740464,25.8022486015,25.8022486015,25.8019060423,25.9113731601,25.8062835547,25.8062835547,25.73138333,25.7353849238,25.7353849238,25.7353849238,25.7353849238,25.7245662129,25.7245662129,25.7264345738,25.7264345738,25.8169264477,25.8051214055,25.8116585159
2017-01-02 09:30:00,23.0,23.0,23.0,23.0,25.7606447644,25.8818067227,25.8919783724,25.8919783724,25.7658571569,25.7658571569,25.7695436244,25.8965494649,25.8965494649,25.7746054063,25.7746054063,25.7466265937,25.8847895195,25.7520769872,25.7520769872,25.7506438934,25.8868653249,25.756027235,25.756027235,25.7014256613,25.7053555052,25.7053555052,25.7053555052,25.7053555052,25.6947516444,25.6947516444,25.6965872972,25.6965872972,25.7650941944,25.753635679,25.7600937589
2017-01-02 10:00:00,23.0,23.0,23.0,23.0,25.7099017686,25.8551892525,25.8675229619,25.8675229619,25.716093858,25.716093858,25.7188637062,25.8721599266,25.8721599266,25.7249065801,25.7249065801,25.6968857651,25.860736873,25.703290329,25.703290329,25.7008015458,25.8627825281,25.7071424224,25.7071424224,25.6760234987,25.6798825327,25.6798825327,25.6798825327,25.6798825327,25.6694885059,25.6694885059,25.6712920248,25.6712920248,25.7143827374,25.7033937669,25.709832626
2017-01-02 10:30:00,23.0,23.0,23.0,23.0,25.6600949135,25.8288175459,25.8432741334,25.8432741334,25.6672291186,25.6672291186,25.6691187409,25.8479764003,25.8479764003,25.6761051253,25.6761051253,25.6480615798,25.8368869472,25.6553836082,25.6553836082,25.6518776994,25.8389026986,25.6591393049,25.6591393049,25.651062924,25.6548523751,25.6548523751,25.6548523751,25.6548523751,25.6446641106,25.6446641106,25.6464360463,25.6464360463,25.6646068272,25.6540782467,25.6604982201
2017-01-02 11:00:00,23.0,23.0,23.0,23.0,25.6114021868,25.8027874366,25.8193199581,25.8193199581,25.6194378397,25.6194378397,25.6207483653,25.8242072836,25.8242072836,25.6286320533,25.6286320533,25.6011088362,25.8136849316,25.6092920761,25.6092920761,25.6047968533,25.8156571051,25.6129234778,25.6129234778,25.6354791393,25.6391996117,25.6392001478,25.6392000558,25.6391996117,25.629211858,25.629211414,25.6309528732,25.6309527811,25.616075276,25.6062555115,25.6127726093
2017-01-02 11:30:00,23.0,23.0,23.0,23.0,25.5636077766,25.7769977032,25.7955681659,25.7955681659,25.5725095156,25.5725095156,25.5732703421,25.8006389769,25.8006389769,25.5820161734,25.5820161734,25.5550213683,25.7906785184,25.5640318869,25.5640318869,25.5585836339,25.7926074751,25.5675412256,25.5675412256,25.6201656692,25.62381837,25.6238194328,25.6238192503,25.62381837,25.6140272617,25.6140263814,25.615737886,25.6157377035,25.5684390593,25.5593145724,25.565926988
2017-01-02 12:00:00,23.0,23.0,23.0,23.0,25.5166367157,25.7514168092,25.7719902084,25.7719902084,25.5263714072,25.5263714072,25.5265316248,25.7772069857,25.7772069857,25.5361083164,25.5361083164,25.5094924446,25.7677323476,25.5193034178,25.5193034178,25.5129403075,25.7696226036,25.5227017351,25.5227017351,25.609304667,25.6128908688,25.612891913,25.6128917337,25.6128908688,25.6032923362,25.6032914713,25.6049730055,25.6049728262,25.5215841702,25.5130645801,25.5197359662
2017-01-02 12:30:00,23.0,23.0,23.0,23.0,25.470532205,25.7260721741,25.7486114868,25.7486114868,25.4810664017,25.4810664017,25.480655159,25.7539729894,25.7539729894,25.4910293925,25.4910293925,25.4648025671,25.7449796663,25.4753817188,25.4753817188,25.4681381252,25.7468315416,25.478671007,25.478671007,25.5986316174,25.602152483,25.6021535091,25.6021533328,25.602152483,25.592742809,25.5927419591,25.5943940365,25.5943938602,25.475593682,25.467667386,25.4743966421
2017-01-02 13:00:00,23.0,23.0,23.0,23.0,25.4256297253,25.701138187,25.7255919727,25.7255919727,25.4369234843,25.4369234843,25.4364480906,25.7313138511,25.7313138511,25.4475700649,25.4475700649,25.4226992385,25.7232296434,25.433977884,25.433977884,25.4258705702,25.7250186297,25.4371072613,25.4371072613,25.5990226895,25.6024783476,25.6024861225,25.6025565983,25.6024783476,25.5933284667,25.5932502161,25.5948801473,25.594950623,25.4310389079,25.4241644819,25.4311593304
2017-01-02 13:30:00,23.0,23.0,23.0,23.0,25.3815556364,25.676434519,25.7027670102,25.7027670102,25.3935776489,25.3935776489,25.3930565788,25.7088462161,25.7088462161,25.404895471,25.404895471,25.3813718388,25.7016630755,25.393320869,25.393320869,25.3843819654,25.7033896991,25.3962932143,25.3962932143,25.599405423,25.602797033,25.602811439,25.6029513337,25.602797033,25.5939021164,25.5937478156,25.5953559779,25.5954958726,25.3873061076,25.3814637376,25.3887192721
2017-01-02 14:00:00,23.0,23.0,23.0,23.0,25.3383075812,25.6519655512,25.6801409148,25.6801409148,25.3510271559,25.3510271559,25.3504842368,25.6865770625,25.6865770625,25.3630097065,25.3630097065,25.3408798452,25.6803123628,25.3534694195,25.3534694195,25.3437256778,25.6819743611,25.3562816338,25.3562816338,25.6077584733,25.6109576972,25.6109718518,25.6113694005,25.6110870575,25.6024951553,25.6022128123,25.6036634811,25.6040610298,25.344395909,25.3395937132,25.3471049573
2017-01-02 14:30:00,23.0,23.0,23.0,23.0,25.2958573941,25.6277226376,25.6577060763,25.6577060763,25.3092449925,25.3092449925,25.3086972981,25.6644961489,25.6644961489,25.3218802698,25.3218802698,25.3011341033,25.659141782,25.3143368097,25.3143368097,25.3038186644,25.6607396961,25.316991776,25.316991776,25.6159642943,25.6189745129,25.6189884205,25.6196391267,25.619230976,25.6109365242,25.6105283735,25.611824288,25.6124749942,25.3022773461,25.2984957487,25.3062579812
2017-01-02 15:00:00,23.0,23.0,23.0,23.0,25.2541512793,25.6036840754,25.635442922,25.635442922,25.2681790373,25.2681790373,25.2675874159,25.6425587343,25.6425587343,25.281401635,25.281401635,25.2619016895,25.6380490361,25.2756955439,25.2756955439,25.2644328519,25.6395856585,25.2782008954,25.2782008954,25.6143638873,25.617170208,25.6171838728,25.6179635337,25.6175700034,25.6094300972,25.6090365669,25.6101619504,25.6109416113,25.2608693476,25.2580264844,25.2660101339
2017-01-02 15:30:00,23.0,23.0,23.0,23.0,25.2132145753,25.5798676154,25.6133679811,25.6133679811,25.2278545975,25.2278545975,25.2272359426,25.6208067779,25.6208067779,25.2416539084,25.2416539084,25.2233922815,25.6171342643,25.2377512597,25.2377512597,25.2257728677,25.6186101085,25.2401096905,25.2401096905,25.6127899981,25.6153959983,25.6154094247,25.6163157899,25.6159366248,25.607948287,25.6075691219,25.6085269418,25.609433307,25.2202252589,25.2183034284,25.2265044051
2017-01-02 16:00:00,23.0,23.0,23.0,23.0,25.1728194675,25.5561639109,25.5913814336,25.5913814336,25.1880491873,25.1880491873,25.1871196554,25.5990045319,25.5990045319,25.202125442,25.202125442,25.1845150123,25.5959004246,25.1994366551,25.1994366551,25.1867774168,25.5973296236,25.2016798077,25.2016798077,25.6042688822,25.6065775627,25.6065907548,25.6076421682,25.607357717,25.5994391645,25.5991547133,25.5998467164,25.6008981299,25.1799695614,25.1786672399,25.1869485361
2017-01-02 16:30:00,23.0,23.0,23.0,23.0,25.1331695742,25.5326792372,25.569580784,25.569580784,25.1489625235,25.1489625235,25.1477434351,25.5773866216,25.5773866216,25.1633107175,25.1633107175,25.1463541873,25.5748457688,25.1618131258,25.1618131258,25.1485005815,25.5762287119,25.1639430729,25.1639430729,25.5958950987,25.5979116557,25.5979246176,25.599118548,25.5989271578,25.591076872,25.5908854817,25.5913162989,25.5925102293,25.1404565047,25.1397618808,25.1481220083
