,ambient_air_temperature,sky_temperature,irradiation_horizontal,irradiation_east,irradiation_south,irradiation_west,irradiation_north,storage_ambient_air_temperature,internal_gain_default_occupancy,internal_gain_default_appliances,constant
surface_adiabatic_17_temperature,0.0003861557892585593,2.559258615014535e-05,0.0,1.3586645341455934e-06,7.878438424274935e-06,2.761128075084368e-09,9.060281280457608e-09,0.0,0.0,0.017474627568617777,0.0
surface_adiabatic_18_temperature,0.0008223910949437365,5.450267159682723e-05,0.0,2.891841080759359e-06,1.6768563405059883e-05,5.885282513415193e-09,1.931147219006814e-08,0.0,0.0,0.037216245753171076,0.0
surface_adiabatic_19_temperature,0.0008223910949438228,5.450267159683113e-05,0.0,2.8918410807593523e-06,1.676856340505973e-05,5.8852825134250745e-09,1.9311472190082212e-08,0.0,0.0,0.037216245753176024,0.0
surface_exterior_1_temperature,0.008566546046374959,0.0007986932166661101,0.0,2.7769424704562325e-08,9.738302751010976e-08,9.02646514427147e-05,1.7356628369462155e-08,0.0,0.0,0.01564158653858474,0.0
surface_exterior_2_temperature,0.008634087504844701,0.0008042587507467819,0.0,1.3205637085869203e-07,1.1486122516699879e-07,2.188284174042664e-08,9.017512013108491e-05,0.0,0.0,0.01662159986924884,0.0
surface_exterior_3_temperature,0.008634087504844354,0.0008042587507467439,0.0,9.023552811535057e-05,1.148612251670379e-07,2.1882841740432756e-08,7.164838658829086e-08,0.0,0.0,0.016621599869254357,0.0
surface_exterior_4_temperature,0.008634087504844595,0.0008042587507467666,0.0,1.320563708587279e-07,9.02183329696614e-05,2.188284174042838e-08,7.164838658829202e-08,0.0,0.0,0.016621599869254548,0.0
surface_exterior_5_temperature,0.008634087504844658,0.0008042587507467723,0.0,1.3205637085873015e-07,1.148612251670421e-07,9.012535458623542e-05,7.164838658829323e-08,0.0,0.0,0.016621599869254846,0.0
surface_exterior_6_temperature,0.00873215141053402,0.0008185680797779229,0.0,3.36567080326872e-09,9.02915833782778e-05,6.124786867839637e-08,2.103945551712236e-09,0.0,0.0,0.01666104318822159,0.0
surface_exterior_7_temperature,0.008732151410534211,0.0008185680797779398,0.0,3.365670803270079e-09,1.8811163378615068e-07,9.016471961317192e-05,2.1039455517131334e-09,0.0,0.0,0.016661043188222917,0.0
surface_exterior_8_temperature,0.008731318329437507,0.000818225192647313,0.0,9.015091576117152e-05,1.966888534542339e-07,2.694816216838473e-09,8.84255402209089e-09,0.0,0.0,0.017041966343605674,0.0
surface_exterior_9_temperature,0.008731318329437408,0.0008182251926473013,0.0,4.744401667657849e-08,9.030016059794785e-05,2.6948162168442966e-09,8.842554022102988e-09,0.0,0.0,0.017041966343607978,0.0
surface_interior_1_temperature,0.000547939219407479,1.8314665429204727e-05,0.0,2.6653753927367336e-06,4.671467560984624e-07,2.6906305974879884e-06,1.6578290857175453e-06,0.0,0.0,0.03599193468096864,0.0
surface_interior_2_temperature,0.0006573226050970793,3.427672270034888e-05,0.0,3.4733581899323375e-08,8.477088183082566e-06,4.198592786453774e-06,2.1709754982274342e-08,0.0,0.0,0.0360353851893334,0.0
surface_interior_3_temperature,0.0007317432059679878,4.0103118362638164e-05,0.0,4.111590856330581e-06,8.924128084325953e-06,4.88162566448694e-07,1.648331699437282e-06,0.0,0.0,0.03755371204093175,0.0
