,zone1_temperature,zone2_temperature,zone3_temperature,zone4_temperature,surface_adiabatic_1_temperature,surface_adiabatic_2_temperature,surface_adiabatic_3_temperature,surface_adiabatic_4_temperature,surface_adiabatic_5_temperature,surface_adiabatic_6_temperature,surface_adiabatic_7_temperature,surface_adiabatic_8_temperature,surface_adiabatic_9_temperature,surface_adiabatic_10_temperature,surface_adiabatic_11_temperature,surface_adiabatic_12_temperature,surface_adiabatic_13_temperature,surface_adiabatic_14_temperature,surface_adiabatic_15_temperature,surface_adiabatic_16_temperature,surface_adiabatic_17_temperature,surface_adiabatic_18_temperature,surface_adiabatic_19_temperature,surface_exterior_1_temperature,surface_exterior_2_temperature,surface_exterior_3_temperature,surface_exterior_4_temperature,surface_exterior_5_temperature,surface_exterior_6_temperature,surface_exterior_7_temperature,surface_exterior_8_temperature,surface_exterior_9_temperature,surface_interior_1_temperature,surface_interior_2_temperature,surface_interior_3_temperature
surface_adiabatic_7_temperature,2.643671814123699e-05,0.004680563676623956,5.196488478442861e-07,0.00014288403471224956,2.625206433211617e-06,4.72173630914317e-07,6.4574388774300925e-06,2.3307244258898907e-06,2.3038656958568524e-05,2.303865695856852e-05,0.9819821257058006,0.00042262380813250607,0.0003410215914531678,0.00536691067376682,0.005366910673766819,8.052940182114711e-08,1.6727636343685673e-07,6.127263691770935e-07,6.127263691770935e-07,2.7165765259443953e-05,5.2175901635005394e-05,0.00022224091412720832,0.0002222409141272084,3.4012227421535865e-07,5.284168595062548e-05,8.432353504639782e-05,7.810686611103014e-06,1.5621373222206028e-05,3.961101873166144e-08,9.345101040427544e-09,2.4398949899429383e-06,1.4297784641065617e-05,2.2587053548190742e-05,6.98035323673192e-07,0.00023792345837741487
surface_adiabatic_8_temperature,1.216784406252219e-05,0.0021582708026057764,2.3895929346249105e-07,6.580865275028493e-05,1.2053818584592807e-06,2.1680115610994222e-07,2.9649683070015563e-06,1.0701648418650074e-06,1.0578358778007204e-05,1.05783587780072e-05,0.00023249956090538607,0.9916750873305862,0.00015669408852806818,0.0024660241224843792,0.0024660241224843792,3.6960800325174603e-08,7.677510330882991e-08,2.8122467436696505e-07,2.81224674366965e-07,1.2476195580766123e-05,2.396229868250029e-05,0.00010206672452615169,0.0001020667245261517,1.5616946061760767e-07,2.4280043554591724e-05,3.8745529533571725e-05,3.588905382126682e-06,7.177810764253365e-06,1.8180373073069222e-08,4.289145514571163e-09,1.1205498482592369e-06,6.566422110799131e-06,1.0378422624907018e-05,3.2049453972185125e-07,0.00010931684669536875
surface_adiabatic_9_temperature,1.2167844062522195e-05,0.0021582708026057777,2.3895929346249115e-07,6.580865275028495e-05,1.2053818584592811e-06,2.1680115610994228e-07,2.9649683070015576e-06,1.0701648418650074e-06,1.0578358778007206e-05,1.0578358778007203e-05,0.00023249956090538615,0.00019418903103288852,0.9916375923880818,0.00246602412248438,0.0024660241224843797,3.6960800325174603e-08,7.677510330882992e-08,2.812246743669651e-07,2.812246743669651e-07,1.2476195580766127e-05,2.3962298682500294e-05,0.00010206672452615172,0.00010206672452615174,1.561694606176077e-07,2.428004355459173e-05,3.874552953357174e-05,3.5889053821266817e-06,7.177810764253367e-06,1.8180373073069226e-08,4.289145514571164e-09,1.1205498482592366e-06,6.56642211079913e-06,1.0378422624907018e-05,3.2049453972185125e-07,0.00010931684669536877
surface_adiabatic_10_temperature,2.5877876060055455e-05,0.00458195512896489,5.086459782272169e-07,0.00013986735019680483,2.5694690978965515e-06,4.6214857322354163e-07,6.320336287377755e-06,2.2812391173096386e-06,2.2549509272489523e-05,2.254950927248952e-05,0.0004952691794280566,0.000413662429397167,0.00033379051838266604,0.9871213785324602,0.0052531109497214795,7.881838906899825e-08,1.6372221732091027e-07,5.997077351050965e-07,5.997077351050965e-07,2.6589231223653586e-05,5.106857413243211e-05,0.00021752433478113998,0.00021752433478114004,3.329009291485945e-07,5.172123256250543e-05,8.253554155524998e-05,7.645069066554351e-06,1.5290138133108705e-05,3.876940077582995e-08,9.146545055590003e-09,2.3881135076660513e-06,1.3994345154923067e-05,2.2108116345734244e-05,6.832138045900475e-07,0.00023287805253658142
surface_adiabatic_11_temperature,2.5877876060055445e-05,0.004581955128964888,5.086459782272167e-07,0.00013986735019680478,2.5694690978965507e-06,4.6214857322354153e-07,6.320336287377754e-06,2.2812391173096386e-06,2.254950927248952e-05,2.254950927248951e-05,0.0004952691794280567,0.0004136624293971669,0.00033379051838266594,0.005253110949721479,0.9871213785324597,7.881838906899822e-08,1.6372221732091025e-07,5.997077351050964e-07,5.997077351050964e-07,2.6589231223653575e-05,5.1068574132432087e-05,0.00021752433478113996,0.00021752433478113998,3.329009291485944e-07,5.172123256250541e-05,8.253554155524997e-05,7.64506906655435e-06,1.5290138133108702e-05,3.8769400775829945e-08,9.146545055590001e-09,2.388113507666051e-06,1.3994345154923064e-05,2.2108116345734237e-05,6.832138045900474e-07,0.00023287805253658137
surface_adiabatic_12_temperature,0.0006274941481491215,3.4330387389649485e-06,0.002388096997447021,9.621932610769046e-08,7.079099439411065e-05,1.273568588984879e-05,0.00017417664407298113,6.286668235905761e-05,0.0006212640734773652,0.0006212640734773651,2.3853888133462506e-07,1.9901137194274127e-07,1.6058530889938272e-07,2.529969721977314e-06,2.5299697219773143e-06,0.9821331307277402,0.0013667312299872607,0.00499924814598189,0.00499924814598189,1.1666561727818177e-08,2.2385185975424495e-08,9.543947162052607e-08,9.543947162052609e-08,9.171957028670966e-06,2.49077466926772e-08,3.974720362119532e-08,3.681688048088035e-09,7.3633760961760725e-09,0.0003232194657460287,7.625450347772344e-05,1.0477213232109392e-09,6.139646954016105e-09,2.4998500514770042e-06,0.0006036982928114067,1.1107314650720521e-07
surface_adiabatic_13_temperature,0.0002890421936248071,1.5786747433302247e-06,0.001102377867280638,4.42114839480545e-08,3.2512791978055195e-05,5.849206651422947e-06,7.999528804509511e-05,2.8873207372425387e-05,0.00028533327615700213,0.0002853332761570021,1.0948284432040012e-07,9.134057153450412e-08,7.370409917647678e-08,1.161187027378795e-06,1.161187027378795e-06,0.00030198815332811783,0.9921091050324784,0.0022978776245783186,0.002297877624578318,5.35270018513385e-09,1.0270461733097164e-08,4.378829457418128e-08,4.3788294574181284e-08,4.212482152549456e-06,1.1431973773510268e-08,1.8242878208708704e-08,1.6897940117707496e-09,3.3795880235415e-09,0.00014856602914134509,3.50499582680826e-05,4.807017848668888e-10,2.816912459319969e-09,1.1481245001925137e-06,0.0002774805759670076,5.097769894988427e-08
surface_adiabatic_14_temperature,0.0006142488931242089,3.3603487334123965e-06,0.0023378853028249687,9.417909752167548e-08,6.928871076574276e-05,1.2465415035424665e-05,0.00017048034549941882,6.153255383932903e-05,0.0006080799795733457,0.0006080799795733455,2.3347063224029616e-07,1.947829473160515e-07,1.5717332862807387e-07,2.476215302907851e-06,2.476215302907851e-06,0.0006430809987036537,0.0013377688877226816,0.9867615780908986,0.0048933105081596685,1.1418519352062065e-08,2.1909253755090243e-08,9.341033597276555e-08,9.341033597276558e-08,8.977315154381928e-06,2.437853013811522e-08,3.890269213593653e-08,3.6034629766746516e-09,7.206925953349304e-09,0.00031637020890201896,7.463861478542e-05,1.0254457477266919e-09,6.009112081678415e-09,2.4467994748838543e-06,0.0005909049827675785,1.0871301402565762e-07
surface_adiabatic_15_temperature,0.000614248893124209,3.3603487334123965e-06,0.0023378853028249687,9.417909752167548e-08,6.928871076574276e-05,1.2465415035424666e-05,0.00017048034549941888,6.153255383932903e-05,0.0006080799795733458,0.0006080799795733455,2.3347063224029618e-07,1.9478294731605155e-07,1.571733286280739e-07,2.4762153029078515e-06,2.476215302907851e-06,0.0006430809987036538,0.0013377688877226823,0.0048933105081596685,0.9867615780908984,1.1418519352062066e-08,2.1909253755090243e-08,9.341033597276556e-08,9.341033597276558e-08,8.977315154381928e-06,2.4378530138115222e-08,3.8902692135936535e-08,3.6034629766746516e-09,7.206925953349305e-09,0.00031637020890201896,7.463861478542001e-05,1.0254457477266919e-09,6.009112081678414e-09,2.446799474883855e-06,0.0005909049827675784,1.0871301402565763e-07
surface_adiabatic_16_temperature,3.63658294717385e-06,0.0006760620434371538,6.891224906996351e-08,0.0024420943648199036,3.0454599819490413e-07,5.4755582347176236e-08,7.488126145773793e-07,2.702736927654126e-07,2.6726349747720185e-06,2.6726349747720177e-06,6.196407618897614e-05,5.1728755701994786e-05,4.1740721308004235e-05,0.0006572141126664505,0.0006572141126664504,8.983720128084436e-09,1.8654321646187055e-08,6.83537175479525e-08,6.835371754795252e-08,0.9820985229953129,0.0011963873315462806,0.005091932804882316,0.0050919328048823174,3.945531462323245e-08,6.470601513328663e-06,1.0325635597438505e-05,9.56438836057631e-07,1.9128776721152624e-06,4.4187646806421315e-09,1.0424827165948844e-09,5.590545286275772e-05,0.0003276059537757602,2.765393658573322e-06,8.065787903543239e-08,0.0006206630727725196
surface_adiabatic_17_temperature,1.6722514260641846e-06,0.0003113765113352406,3.166424996752827e-08,0.001127264436743603,1.3977757407070513e-07,2.5131130723025623e-08,3.4368192817243476e-07,1.240473010945818e-07,1.22666001049984e-06,1.2266600104998403e-06,2.8457727074204414e-05,2.3756942491889194e-05,1.9169838946000214e-05,0.00030183322479419877,0.00030183322479419877,4.121793679634632e-09,8.558718110914294e-09,3.1361161879970115e-08,3.136116187997012e-08,0.0002860777077344845,0.9920308017701502,0.0023404535969994817,0.002340453596999482,1.810881360921999e-08,2.9716981975834947e-06,4.742166957833089e-06,4.3925554051762083e-07,8.785110810352418e-07,2.0273597776761045e-09,4.782982759425553e-10,2.5696344603932825e-05,0.00015058057937904643,1.2700362771119675e-06,3.701826203275627e-08,0.000285271545292007
surface_adiabatic_18_temperature,3.5595812670702793e-06,0.0006617884690519953,6.745103804130017e-08,0.0023907440400733173,2.980752302525241e-07,5.359217152912105e-08,7.329023281717285e-07,2.6453109204515405e-07,2.6158487952618366e-06,2.615848795261836e-06,6.0649024005536086e-05,5.0630917963350286e-05,4.085485930594564e-05,0.0006432661745834888,0.0006432661745834887,8.792717557174055e-09,1.82577114625752e-08,6.690045127794456e-08,6.690045127794458e-08,0.0006092063617360158,0.0011710342286066083,0.9868522965136297,0.004984028930890053,3.8616996904759255e-08,6.333277022330359e-06,1.010649636444272e-05,9.36140495005092e-07,1.8722809900101842e-06,4.3248174410373256e-09,1.0203185189880608e-09,5.472075148263268e-05,0.00032066360368822783,2.7067039562086177e-06,7.894401014455969e-08,0.0006075096968400205
surface_adiabatic_19_temperature,3.55958126707028e-06,0.0006617884690519957,6.745103804130015e-08,0.0023907440400733173,2.9807523025252417e-07,5.3592171529121053e-08,7.329023281717286e-07,2.6453109204515405e-07,2.6158487952618366e-06,2.6158487952618366e-06,6.064902400553609e-05,5.06309179633503e-05,4.0854859305945646e-05,0.0006432661745834889,0.0006432661745834887,8.792717557174056e-09,1.82577114625752e-08,6.690045127794456e-08,6.690045127794458e-08,0.0006092063617360158,0.0011710342286066083,0.004984028930890052,0.9868522965136299,3.861699690475926e-08,6.33327702233036e-06,1.010649636444272e-05,9.361404950050918e-07,1.8722809900101842e-06,4.324817441037326e-09,1.0203185189880608e-09,5.472075148263268e-05,0.00032066360368822783,2.7067039562086177e-06,7.89440101445597e-08,0.0006075096968400206
surface_exterior_1_temperature,0.001968584090821706,1.1328860555569621e-05,4.070585323884346e-05,3.2932635073029306e-07,0.0002612104574674412,4.701434257473295e-05,0.0006430052978916157,0.00023208398596085957,0.0022924355315967863,0.0022924355315967863,9.305941646921187e-07,7.766997814241677e-07,6.267308903230357e-07,9.870140213966479e-06,9.870140213966479e-06,8.471933866026009e-06,1.7609694886196378e-05,6.446233515808448e-05,6.446233515808448e-05,4.7327408646617814e-08,9.084164752119883e-08,3.871720039739849e-07,3.87172003973985e-07,0.9825826324136847,9.717494969895636e-08,1.5506952757390024e-07,1.4363718055049364e-08,2.8727436110098735e-08,4.167496208058734e-06,9.83203017668866e-07,4.2504239008574665e-09,2.4907484059024754e-08,9.226394372273746e-06,6.986528637132601e-05,4.3505431336115436e-07
surface_exterior_2_temperature,1.18511129925285e-05,0.002098631197973175,2.3292673658854136e-07,6.405704444258564e-05,1.1765287322016854e-06,2.1161218165013696e-07,2.8940046650325176e-06,1.0445514838717267e-06,1.0325146677730897e-05,1.0325146677730897e-05,0.00022678886481524116,0.00018942022361406762,0.00015284606514650312,0.0024054536431637797,0.0024054536431637793,3.6088995726475186e-08,7.496435139084874e-08,2.745913739503352e-07,2.745913739503352e-07,1.2175075999815265e-05,2.338403838127048e-05,9.960330395977674e-05,9.960330395977676e-05,1.524312936454218e-07,0.9825724708757408,3.779387416354827e-05,3.500755829893886e-06,7.001511659787773e-06,1.775155176706751e-08,4.187977239651968e-09,1.0935052000022554e-06,6.407940472013217e-06,1.0123532441033752e-05,3.128344307711354e-07,0.0001066368727858723
surface_exterior_3_temperature,1.1851112992528507e-05,0.0020986311979731753,2.329267365885414e-07,6.405704444258568e-05,1.1765287322016857e-06,2.11612181650137e-07,2.8940046650325185e-06,1.0445514838717271e-06,1.0325146677730898e-05,1.0325146677730897e-05,0.00022678886481524127,0.0001894202236140676,0.00015284606514650315,0.00240545364316378,0.0024054536431637797,3.608899572647519e-08,7.496435139084874e-08,2.7459137395033516e-07,2.745913739503352e-07,1.2175075999815268e-05,2.3384038381270484e-05,9.960330395977676e-05,9.960330395977676e-05,1.524312936454218e-07,2.368368484918006e-05,0.9825865810650561,3.5007558298938863e-06,7.001511659787774e-06,1.775155176706751e-08,4.187977239651968e-09,1.0935052000022552e-06,6.4079404720132175e-06,1.0123532441033757e-05,3.1283443077113536e-07,0.00010663687278587234
surface_exterior_4_temperature,1.1851112992528505e-05,0.0020986311979731757,2.3292673658854144e-07,6.405704444258568e-05,1.1765287322016857e-06,2.1161218165013696e-07,2.8940046650325185e-06,1.044551483871727e-06,1.0325146677730898e-05,1.0325146677730897e-05,0.00022678886481524132,0.00018942022361406768,0.00015284606514650315,0.002405453643163781,0.00240545364316378,3.608899572647519e-08,7.496435139084877e-08,2.7459137395033526e-07,2.7459137395033526e-07,1.217507599981527e-05,2.3384038381270488e-05,9.960330395977677e-05,9.960330395977677e-05,1.5243129364542185e-07,2.3683684849180065e-05,3.779387416354829e-05,0.982552287946722,7.001511659787775e-06,1.7751551767067513e-08,4.18797723965197e-09,1.0935052000022559e-06,6.407940472013219e-06,1.0123532441033755e-05,3.1283443077113547e-07,0.00010663687278587234
surface_exterior_5_temperature,1.1851112992528502e-05,0.002098631197973175,2.3292673658854136e-07,6.405704444258564e-05,1.1765287322016857e-06,2.1161218165013696e-07,2.8940046650325176e-06,1.044551483871727e-06,1.0325146677730898e-05,1.0325146677730897e-05,0.00022678886481524124,0.00018942022361406762,0.0001528460651465031,0.00240545364316378,0.0024054536431637793,3.6088995726475186e-08,7.496435139084874e-08,2.7459137395033516e-07,2.745913739503352e-07,1.2175075999815266e-05,2.3384038381270484e-05,9.960330395977676e-05,9.960330395977676e-05,1.5243129364542185e-07,2.3683684849180055e-05,3.779387416354828e-05,3.5007558298938855e-06,0.9825557887025518,1.775155176706751e-08,4.187977239651968e-09,1.0935052000022554e-06,6.407940472013216e-06,1.0123532441033752e-05,3.128344307711354e-07,0.00010663687278587232
surface_exterior_6_temperature,0.0002813186376043107,1.5388209044750205e-06,0.0010708797051404895,4.312558032236358e-08,3.1727034048695974e-05,5.7078641199795385e-06,7.806227256361438e-05,2.8175511817914233e-05,0.0002784374798180137,0.00027843747981801364,1.069004422534133e-07,8.918629094135017e-08,7.196577733521482e-08,1.1337978859037974e-06,1.1337978859037974e-06,0.0002944803312694998,0.0006125922701659212,0.002240749885242462,0.002240749885242462,5.228129402822585e-09,1.0031458220921571e-08,4.276923361356616e-08,4.276923361356617e-08,4.110677943218571e-06,1.1162327275936693e-08,1.7812582591162946e-08,1.6499367617523327e-09,3.2998735235046667e-09,0.9826936597646717,3.417859179850267e-05,4.695147268418935e-10,2.751356299293495e-09,1.1203798485482767e-06,0.00027058742327784623,4.9776883772344635e-08
