building_name,zone_name,surface_name,surface_type,surface_area,surface_comment
117042160,zone_1,surface_adiabatic_floor,floor_concrete,2250.91249470418,
117052184,zone_1,surface_adiabatic_floor,floor_concrete,237.82903746028015,
117052184,zone_2,surface_adiabatic_floor,floor_concrete,237.82903746028015,
117052185,zone_1,surface_adiabatic_floor,floor_concrete,288.2564781338151,
117052185,zone_2,surface_adiabatic_floor,floor_concrete,288.2564781338151,
117052186,zone_1,surface_adiabatic_floor,floor_concrete,216.52211925694883,
117052186,zone_2,surface_adiabatic_floor,floor_concrete,216.52211925694883,
117055140,zone_1,surface_adiabatic_floor,floor_concrete,4034.499446494765,
117058629,zone_1,surface_adiabatic_floor,floor_concrete,1145.457691447033,
117058639,zone_1,surface_adiabatic_floor,floor_concrete,2539.449927478715,
121565109,zone_1,surface_adiabatic_floor,floor_concrete,174.82375408257343,
126520579,zone_1,surface_adiabatic_floor,floor_concrete,749.8966200158874,
126520582,zone_1,surface_adiabatic_floor,floor_concrete,1159.441232399974,
146335667,zone_1,surface_adiabatic_floor,floor_concrete,2440.725002078866,
152598430,zone_1,surface_adiabatic_floor,floor_concrete,6301.566321760837,
152598430,zone_2,surface_adiabatic_floor,floor_concrete,6301.566321760837,
155980025,zone_1,surface_adiabatic_floor,floor_concrete,1872.5296844524605,
155987124,zone_1,surface_adiabatic_floor,floor_concrete,5611.843137480322,
155988210,zone_1,surface_adiabatic_floor,floor_concrete,2410.356878910116,
159679951,zone_1,surface_adiabatic_floor,floor_concrete,1650.6811603232975,
159679953,zone_1,surface_adiabatic_floor,floor_concrete,529.935740576285,
159679958,zone_1,surface_adiabatic_floor,floor_concrete,159.15413328267414,
159679958,zone_2,surface_adiabatic_floor,floor_concrete,159.15413328267414,
164176023,zone_1,surface_adiabatic_floor,floor_concrete,704.6860736487727,
164177174,zone_1,surface_adiabatic_floor,floor_concrete,547.2858742718896,
164177177,zone_1,surface_adiabatic_floor,floor_concrete,1246.4362324488325,
164177179,zone_1,surface_adiabatic_floor,floor_concrete,718.0163647091704,
164177180,zone_1,surface_adiabatic_floor,floor_concrete,1551.2263386574427,
164177181,zone_1,surface_adiabatic_floor,floor_concrete,311.66609036115887,
164177282,zone_1,surface_adiabatic_floor,floor_concrete,742.4176758830225,
164177282,zone_2,surface_adiabatic_floor,floor_concrete,742.4176758830225,
164177283,zone_1,surface_adiabatic_floor,floor_concrete,772.6862306846118,
164177283,zone_2,surface_adiabatic_floor,floor_concrete,772.6862306846118,
164881347,zone_1,surface_adiabatic_floor,floor_concrete,1126.646914612077,
164882623,zone_1,surface_adiabatic_floor,floor_concrete,251.52699382919684,
166311281,zone_1,surface_adiabatic_floor,floor_concrete,86.77036886289619,
166311282,zone_1,surface_adiabatic_floor,floor_concrete,115.70912132106201,
