building_name,zone_name,zone_type,zone_height,zone_area,zone_comment
create_level8_11zones_a,zone11,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_11zones_b,zone1,create_level8_open_plan_office,4.8,235.0,235
create_level8_11zones_b,zone2,create_level8_open_plan_office,4.8,282.0,282
create_level8_11zones_b,zone3,create_level8_group_office,3.0,29.0142,3.98*7.29
create_level8_11zones_b,zone4,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_11zones_b,zone5,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_11zones_b,zone6,create_level8_group_office,3.0,12.6564,3.98*3.18
create_level8_11zones_b,zone7,create_level8_group_office,3.0,25.8,4*(3.25+3.2)
create_level8_11zones_b,zone8,create_level8_group_office,3.0,26.0,4*6.5
create_level8_11zones_b,zone9,create_level8_group_office,3.0,12.8,4*3.2
create_level8_11zones_b,zone10,create_level8_group_office,3.0,29.16,4*7.29
create_level8_11zones_b,zone11,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_11zones_c,zone1,create_level8_open_plan_office,4.8,295.0,295
create_level8_11zones_c,zone2,create_level8_open_plan_office,4.8,282.0,282
create_level8_11zones_c,zone3,create_level8_group_office,3.0,29.0142,3.98*7.29
create_level8_11zones_c,zone4,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_11zones_c,zone5,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_11zones_c,zone6,create_level8_group_office,3.0,12.6564,3.98*3.18
create_level8_11zones_c,zone7,create_level8_group_office,3.0,13.0,4*3.25
create_level8_11zones_c,zone8,create_level8_group_office,3.0,12.8,4*3.2
create_level8_11zones_c,zone9,create_level8_group_office,3.0,26.0,4*6.5
create_level8_11zones_c,zone10,create_level8_group_office,3.0,12.8,4*3.2
create_level8_11zones_c,zone11,create_level8_group_office,3.0,29.16,4*7.29
create_level8_12zones_a,zone1,create_level8_open_plan_office,4.8,178.464,17.16*10.4
create_level8_12zones_a,zone2,create_level8_open_plan_office,4.8,248.8896,10.44*23.84
create_level8_12zones_a,zone3,create_level8_group_office,3.0,29.0142,3.98*7.29
create_level8_12zones_a,zone4,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_12zones_a,zone5,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_12zones_a,zone6,create_level8_group_office,3.0,12.6564,3.98*3.18
create_level8_12zones_a,zone7,create_level8_group_office,3.0,25.8,4*(3.25+3.2)
create_level8_12zones_a,zone8,create_level8_group_office,3.0,26.0,4*6.5
create_level8_12zones_a,zone9,create_level8_group_office,3.0,12.8,4*3.2
create_level8_12zones_a,zone10,create_level8_group_office,3.0,29.16,4*7.29
create_level8_12zones_a,zone11,create_level8_open_plan_office,4.8,80.0,80
create_level8_12zones_a,zone12,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_12zones_b,zone1,create_level8_open_plan_office,4.8,235.0,235
create_level8_12zones_b,zone2,create_level8_open_plan_office,4.8,282.0,282
create_level8_12zones_b,zone3,create_level8_group_office,3.0,29.0142,3.98*7.29
create_level8_12zones_b,zone4,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_12zones_b,zone5,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_12zones_b,zone6,create_level8_group_office,3.0,12.6564,3.98*3.18
create_level8_12zones_b,zone7,create_level8_group_office,3.0,13.0,4*3.25
create_level8_12zones_b,zone8,create_level8_group_office,3.0,12.8,4*3.2
create_level8_12zones_b,zone9,create_level8_group_office,3.0,26.0,4*6.5
